"state" "County" "Margin2020" "votes" "counted"
"Florida" "Sumter" -36 92485 98
"Florida" "Flagler" -21 71716 98
"Florida" "Nassau" -46 58811 98
"Florida" "Highlands" -34 52170 98
"Florida" "Monroe" -8 48029 98
"Florida" "Walton" -52 43711 98
"Florida" "Putnam" -41 36373 98
"Florida" "Columbia" -45 33042 98
"Florida" "Gadsden" 37 23762 98
"Florida" "Levy" -46 23145 98
"Florida" "Jackson" -39 22419 98
"Florida" "Suwannee" -57 21057 98
"Florida" "Wakulla" -41 18404 98
"Florida" "Okeechobee" -44 15954 98
"Florida" "Baker" -70 14059 98
"Florida" "Bradford" -53 13632 98
"Florida" "Hendry" -23 12940 98
"Florida" "DeSoto" -32 12659 98
"Florida" "Washington" -61 12327 98
"Florida" "Taylor" -54 10127 98
"Florida" "Gilchrist" -64 9685 98
"Florida" "Madison" -19 9380 98
"Florida" "Holmes" -79 9068 98
"Florida" "Hardee" -45 8485 98
"Florida" "Jefferson" -7 8451 98
"Florida" "Dixie" -66 8167 98
"Florida" "Gulf" -51 8163 98
"Florida" "Franklin" -37 6849 98
"Florida" "Calhoun" -62 6526 98
"Florida" "Union" -65 6245 98
"Florida" "Hamilton" -32 5830 98
"Florida" "Glades" -46 5193 98
"Florida" "Lafayette" -72 3658 98
"Florida" "Liberty" -60 3561 98
"Georgia" "Fulton" 46 524659 98
"Georgia" "Gwinnett" 18 413865 98
"Georgia" "Cobb" 14 393746 98
"Georgia" "DeKalb" 67 370804 98
"Georgia" "Cherokee" -39 144830 98
"Georgia" "Chatham" 19 133420 98
"Georgia" "Forsyth" -33 129305 98
"Georgia" "Henry" 20 122742 98
"Georgia" "Clayton" 71 112344 98
"Georgia" "Hall" -43 90523 98
"Georgia" "Richmond" 37 87016 98
"Georgia" "Paulding" -29 85385 98
"Georgia" "Columbia" -26 80579 98
"Georgia" "Muscogee" 24 80543 98
"Georgia" "Coweta" -36 76799 98
"Georgia" "Houston" -12 74823 98
"Georgia" "Fayette" -7 71993 98
"Georgia" "Bibb" 24 70802 98
"Georgia" "Douglas" 25 69097 98
"Georgia" "Carroll" -39 54474 98
"Georgia" "Newton" 11 54239 98
"Georgia" "Clarke" 42 51333 98
"Georgia" "Walton" -49 51095 98
"Georgia" "Bartow" -51 50467 98
"Georgia" "Lowndes" -12 46355 98
"Georgia" "Rockdale" 41 44686 98
"Georgia" "Glynn" -23 41984 98
"Georgia" "Floyd" -41 41648 98
"Georgia" "Barrow" -43 37921 98
"Georgia" "Jackson" -58 37670 98
"Georgia" "Whitfield" -41 36746 98
"Georgia" "Dougherty" 40 35311 98
"Georgia" "Catoosa" -56 32651 98
"Georgia" "Effingham" -50 31570 98
"Georgia" "Spalding" -21 30116 98
"Georgia" "Bulloch" -24 30084 98
"Georgia" "Troup" -22 30049 98
"Georgia" "Walker" -59 29354 98
"Georgia" "Oconee" -34 25168 98
"Georgia" "Gordon" -63 24033 98
"Georgia" "Camden" -31 23688 98
"Georgia" "Laurens" -28 22729 98
"Georgia" "Thomas" -19 21853 98
"Georgia" "Liberty" 24 21389 98
"Georgia" "Bryan" -35 21340 98
"Georgia" "Habersham" -64 20432 98
"Georgia" "Harris" -44 19991 98
"Georgia" "Baldwin" 1.3 18251 98
"Georgia" "Polk" -57 17399 98
"Georgia" "Pickens" -66 17116 98
"Georgia" "Lee" -45 16714 98
"Georgia" "Gilmer" -64 16525 98
"Georgia" "Tift" -34 16283 98
"Georgia" "Colquitt" -47 16083 98
"Georgia" "Dawson" -68 16081 98
"Georgia" "Monroe" -43 15592 98
"Georgia" "Union" -63 15560 98
"Georgia" "Lumpkin" -58 15531 98
"Georgia" "Murray" -69 15389 98
"Georgia" "Coffee" -40 15214 98
"Georgia" "Jones" -34 14966 98
"Georgia" "Madison" -53 14937 98
"Georgia" "Fannin" -65 14850 98
"Georgia" "White" -66 14816 98
"Georgia" "Haralson" -74 14248 98
"Georgia" "Ware" -40 14192 98
"Georgia" "Upson" -34 12905 98
"Georgia" "Wayne" -57 12778 98
"Georgia" "Hart" -50 12727 98
"Georgia" "Peach" -5 12545 98
"Georgia" "Sumter" 5 12150 98
"Georgia" "Stephens" -59 11885 98
"Georgia" "Putnam" -41 11855 98
"Georgia" "Butts" -44 11786 98
"Georgia" "Morgan" -42 11707 98
"Georgia" "Decatur" -17 11627 98
"Georgia" "Greene" -26 11247 98
"Georgia" "Toombs" -45 10914 98
"Georgia" "Meriwether" -21 10877 98
"Georgia" "Franklin" -69 10765 98
"Georgia" "Pike" -71 10720 98
"Georgia" "Grady" -32 10707 98
"Georgia" "Burke" -1.8 10684 98
"Georgia" "McDuffie" -19 10455 98
"Georgia" "Chattooga" -62 10050 98
"Georgia" "Rabun" -57 9568 98
"Georgia" "Emanuel" -39 9501 98
"Georgia" "Washington" 0.71 9459 98
"Georgia" "Worth" -48 9285 98
"Georgia" "Elbert" -36 9171 98
"Georgia" "Pierce" -75 9048 98
"Georgia" "Lamar" -41 9039 98
"Georgia" "Mitchell" -10 8963 98
"Georgia" "Banks" -78 8801 98
"Georgia" "Appling" -57 8341 98
"Georgia" "Tattnall" -49 8183 98
"Georgia" "Oglethorpe" -39 8131 98
"Georgia" "Dodge" -46 8070 98
"Georgia" "Crisp" -25 8050 98
"Georgia" "Towns" -61 7979 98
"Georgia" "Brantley" -81 7746 98
"Georgia" "Berrien" -67 7743 98
"Georgia" "Jasper" -53 7644 98
"Georgia" "Jefferson" 7 7642 98
"Georgia" "Dade" -65 7434 98
"Georgia" "Brooks" -21 7100 98
"Georgia" "Cook" -40 7035 98
"Georgia" "McIntosh" -21 6696 98
"Georgia" "Screven" -19 6628 98
"Georgia" "Ben Hill" -26 6560 98
"Georgia" "Crawford" -46 6102 98
"Georgia" "Jeff Davis" -64 5771 98
"Georgia" "Bleckley" -53 5706 98
"Georgia" "Long" -26 5656 98
"Georgia" "Heard" -68 5391 98
"Georgia" "Early" -5 5187 98
"Georgia" "Wilkes" -13 5029 98
"Georgia" "Wilkinson" -12 4770 98
"Georgia" "Bacon" -73 4668 98
"Georgia" "Macon" 23 4662 98
"Georgia" "Lincoln" -38 4650 98
"Georgia" "Charlton" -51 4566 98
"Georgia" "Twiggs" -7 4444 98
"Georgia" "Candler" -42 4431 98
"Georgia" "Terrell" 8 4416 98
"Georgia" "Telfair" -31 4333 98
"Georgia" "Evans" -37 4247 98
"Georgia" "Irwin" -51 4168 98
"Georgia" "Hancock" 44 4165 98
"Georgia" "Dooly" -6 4105 98
